Movie,Year,RunTime,imdb,Genre,votes
Lion,(2016),118 min,8.0,"Biography, Drama","209,996"
WALL·E,(2008),98 min,8.4,"Animation, Adventure, Family","985,567"
The Man Who Would Be King,(1975),129 min,7.8,"Adventure, History, War","44,032"
Groundhog Day,(1993),101 min,8.0,"Comedy, Fantasy, Romance","573,153"
Mononoke-hime,(1997),134 min,8.4,"Animation, Adventure, Fantasy","336,667"
Million Dollar Baby,(2004),132 min,8.1,"Drama, Sport","629,023"
Little Miss Sunshine,(2006),101 min,7.8,"Comedy, Drama","435,507"
The King's Speech,(2010),118 min,8.0,"Biography, Drama, History","633,011"
Seven Pounds,(2008),123 min,7.6,"Drama, Romance","284,354"
The Last Samurai,(2003),154 min,7.7,"Action, Drama","395,899"
Rush,(I) (2013),123 min,8.1,"Action, Biography, Drama","427,442"
Raging Bull,(1980),129 min,8.2,"Biography, Drama, Sport","317,679"
Fear and Loathing in Las Vegas,(1998),118 min,7.6,"Adventure, Comedy, Drama","257,336"
The Color Purple,(1985),154 min,7.8,Drama,"77,388"
Aladdin,(1992),90 min,8.0,"Animation, Adventure, Comedy","369,901"
Misery,(1990),107 min,7.8,"Drama, Thriller","181,873"
The Fault in Our Stars,(2014),126 min,7.7,"Drama, Romance","340,406"
The Machinist,(2004),101 min,7.7,"Drama, Thriller","354,408"
In the Name of the Father,(1993),133 min,8.1,"Biography, Drama","154,785"
The Graduate,(1967),106 min,8.0,"Comedy, Drama, Romance","251,595"
Blazing Saddles,(1974),93 min,7.7,"Comedy, Western","124,704"
The Bridge on the River Kwai,(1957),161 min,8.1,"Adventure, Drama, War","201,073"
Changeling,(2008),141 min,7.7,"Biography, Crime, Drama","236,710"
Chinatown,(1974),130 min,8.1,"Drama, Mystery, Thriller","290,376"
How to Train Your Dragon,(2010),98 min,8.1,"Animation, Action, Adventure","658,278"
The Fly,(1986),96 min,7.6,"Drama, Horror, Sci-Fi","157,910"
Billy Elliot,(2000),110 min,7.7,"Drama, Music","125,233"
Fantastic Mr. Fox,(2009),87 min,7.9,"Animation, Adventure, Comedy","195,651"
Only the Brave,(2017),134 min,7.6,"Action, Biography, Drama","56,552"
Monty Python and the Holy Grail,(1975),91 min,8.2,"Adventure, Comedy, Fantasy","496,072"
A Christmas Story,(1983),94 min,7.9,"Comedy, Family","128,207"
Sense and Sensibility,(1995),136 min,7.6,"Drama, Romance","100,926"
Beauty and the Beast,(1991),84 min,8.0,"Animation, Family, Fantasy","413,653"
Big Hero 6,(2014),102 min,7.8,"Animation, Action, Adventure","405,308"
Road to Perdition,(2002),117 min,7.7,"Crime, Drama, Thriller","244,174"
(500) Days of Summer,(2009),95 min,7.7,"Comedy, Drama, Romance","468,042"
True Grit,(2010),110 min,7.6,"Drama, Western","308,120"
Glory,(1989),122 min,7.8,"Biography, Drama, History","120,848"
Mad Max 2,(1981),96 min,7.6,"Action, Adventure, Sci-Fi","164,889"
Toy Story 3,(2010),103 min,8.3,"Animation, Adventure, Comedy","747,609"
Butch Cassidy and the Sundance Kid,(1969),110 min,8.0,"Biography, Crime, Drama","200,360"
Moon,(2009),97 min,7.9,"Drama, Mystery, Sci-Fi","332,313"
Gravity,(2013),91 min,7.7,"Drama, Sci-Fi, Thriller","761,732"
Blue Velvet,(1986),120 min,7.7,"Drama, Mystery, Thriller","178,749"
Breakfast at Tiffany's,(1961),115 min,7.6,"Comedy, Drama, Romance","164,621"
Y tu mamá también,(2001),106 min,7.6,Drama,"114,685"
Gifted,(2017),101 min,7.6,Drama,"97,634"
Bridge of Spies,(2015),142 min,7.6,"Drama, History, Thriller","283,996"
Kill Bill: Vol. 2,(2004),137 min,8.0,"Action, Crime, Thriller","675,581"
Hotaru no haka,(1988),89 min,8.5,"Animation, Drama, War","230,171"
Lawrence of Arabia,(1962),228 min,8.3,"Adventure, Biography, Drama","264,561"
Captain Phillips,(2013),134 min,7.8,"Adventure, Biography, Crime","416,054"
The Florida Project,(2017),111 min,7.6,Drama,"92,404"
Gattaca,(1997),106 min,7.8,"Drama, Sci-Fi, Thriller","278,166"
Koe no katachi,(2016),130 min,8.1,"Animation, Drama, Family","44,045"
Blow,(2001),124 min,7.6,"Biography, Crime, Drama","238,473"
The Little Mermaid,(1989),83 min,7.6,"Animation, Family, Fantasy","234,560"
El secreto de sus ojos,(2009),129 min,8.2,"Drama, Mystery, Romance","190,320"
The Birds,(1963),119 min,7.7,"Drama, Horror, Mystery","169,584"
The Boy in the Striped Pyjamas,(2008),94 min,7.8,"Drama, War","187,999"
Do the Right Thing,(1989),120 min,8.0,"Comedy, Drama","87,824"
The Sandlot,(1993),101 min,7.8,"Comedy, Drama, Family","78,070"
Togo,(2019),113 min,8.0,"Adventure, Biography, Drama","33,588"
Despicable Me,(2010),95 min,7.6,"Animation, Comedy, Crime","495,339"
Roma,(2018),135 min,7.7,Drama,"137,236"
Dangal,(2016),161 min,8.4,"Action, Biography, Drama","151,842"
In Bruges,(2008),107 min,7.9,"Comedy, Crime, Drama","386,837"
Hell or High Water,(II) (2016),102 min,7.6,"Action, Crime, Drama","200,967"
Man on Fire,(2004),146 min,7.7,"Action, Crime, Drama","326,267"
The Elephant Man,(1980),124 min,8.1,"Biography, Drama","217,154"
The Great Escape,(1963),172 min,8.2,"Adventure, Drama, History","221,986"
Creed,(II) (2015),133 min,7.6,"Drama, Sport","244,404"
Brazil,(1985),132 min,7.9,"Drama, Sci-Fi","185,929"
The Fighter,(I) (2010),116 min,7.8,"Biography, Drama, Sport","336,887"
Ang-ma-reul bo-at-da,(2010),144 min,7.8,"Action, Crime, Drama","108,777"
Wreck-It Ralph,(2012),101 min,7.7,"Animation, Adventure, Comedy","375,258"
Det sjunde inseglet,(1957),96 min,8.2,"Drama, Fantasy","161,954"
Toy Story 2,(1999),92 min,7.9,"Animation, Adventure, Comedy","520,501"
Barry Lyndon,(1975),185 min,8.1,"Adventure, Drama, History","147,352"
The Sting,(1973),129 min,8.3,"Comedy, Crime, Drama","238,731"
North by Northwest,(1959),136 min,8.3,"Adventure, Mystery, Thriller","295,411"
Boyhood,(I) (2014),165 min,7.9,Drama,"332,902"
Donnie Brasco,(1997),127 min,7.7,"Biography, Crime, Drama","275,372"
To Kill a Mockingbird,(1962),129 min,8.2,"Crime, Drama","291,238"
Straight Outta Compton,(2015),147 min,7.8,"Biography, Drama, History","177,552"
Mr. Nobody,(2009),141 min,7.8,"Drama, Fantasy, Romance","213,936"
Fa yeung nin wah,(2000),98 min,8.1,"Drama, Romance","121,465"
The Farewell,(I) (2019),100 min,7.6,"Comedy, Drama","47,617"
Fried Green Tomatoes,(1991),130 min,7.7,Drama,"66,153"
La piel que habito,(2011),120 min,7.6,"Drama, Horror, Thriller","136,942"
Akira,(1988),124 min,8.0,"Animation, Action, Sci-Fi","162,285"
Stalker,(1979),162 min,8.2,"Drama, Sci-Fi","114,395"
Planet of the Apes,(1968),112 min,8.0,"Adventure, Sci-Fi","164,008"
Traffic,(2000),147 min,7.6,"Crime, Drama, Thriller","194,337"
Ben-Hur,(1959),212 min,8.1,"Adventure, Drama, History","216,880"
Gone Baby Gone,(2007),114 min,7.6,"Crime, Drama, Mystery","247,663"
Lethal Weapon,(1987),109 min,7.6,"Action, Crime, Thriller","234,103"
Dil Bechara,(2020),101 min,7.9,"Comedy, Drama, Romance","107,616"
Dog Day Afternoon,(1975),125 min,8.0,"Biography, Crime, Drama","233,078"
Rain Man,(1988),133 min,8.0,Drama,"468,452"
Män som hatar kvinnor,(2009),152 min,7.8,"Crime, Drama, Mystery","207,357"
Seppuku,(1962),133 min,8.6,"Action, Drama, Mystery","39,674"
Eastern Promises,(2007),100 min,7.6,"Action, Crime, Drama","225,674"
Midnight Cowboy,(1969),113 min,7.8,Drama,"99,764"
The Boondock Saints,(1999),108 min,7.8,"Action, Crime, Thriller","225,822"
Hachi: A Dog's Tale,(2009),93 min,8.1,"Drama, Family","249,130"
Evil Dead II,(1987),84 min,7.8,"Action, Comedy, Fantasy","146,916"
Dangerous Liaisons,(1988),119 min,7.6,"Drama, Romance","63,935"
Some Like It Hot,(1959),121 min,8.2,"Comedy, Music, Romance","240,758"
When Harry Met Sally...,(1989),95 min,7.6,"Comedy, Drama, Romance","192,857"
Dogville,(2003),178 min,8.0,"Crime, Drama","136,347"
La haine,(1995),98 min,8.1,"Crime, Drama","147,249"
Before Sunset,(2004),80 min,8.1,"Drama, Romance","232,177"
Falling Down,(1993),113 min,7.6,"Action, Crime, Drama","168,448"
Adaptation.,(2002),115 min,7.7,"Comedy, Drama","176,535"
Life of Pi,(2012),127 min,7.9,"Adventure, Drama, Fantasy","574,771"
Rushmore,(1998),93 min,7.7,"Comedy, Drama, Romance","167,515"
"Paris, Texas",(1984),145 min,8.1,Drama,"88,607"
From Here to Eternity,(1953),118 min,7.6,"Drama, Romance, War","42,875"
Paths of Glory,(1957),88 min,8.4,"Drama, War","175,425"
The Lego Movie,(2014),100 min,7.7,"Animation, Action, Adventure","321,503"
Philadelphia,(1993),125 min,7.7,Drama,"221,567"
La montaña sagrada,(1973),114 min,7.9,"Adventure, Drama, Fantasy","36,129"
A Bronx Tale,(1993),121 min,7.8,"Crime, Drama, Romance","126,476"
Dark City,(1998),100 min,7.6,"Mystery, Sci-Fi, Thriller","186,533"
Das Boot,(1981),149 min,8.3,"Adventure, Drama, Thriller","229,038"
Serbuan maut,(2011),101 min,7.6,"Action, Thriller","188,762"
Nuovo Cinema Paradiso,(1988),155 min,8.5,Drama,"226,603"
Manbiki kazoku,(2018),121 min,8.0,"Crime, Drama","59,266"
Yedinci Kogustaki Mucize,(2019),132 min,8.3,Drama,"31,012"
Match Point,(2005),124 min,7.6,"Drama, Romance, Thriller","204,450"
Kelly's Heroes,(1970),144 min,7.6,"Adventure, Comedy, War","44,785"
Close Encounters of the Third Kind,(1977),138 min,7.6,"Drama, Sci-Fi","182,542"
Spartacus,(1960),197 min,7.9,"Adventure, Biography, Drama","123,118"
The French Connection,(1971),104 min,7.7,"Action, Crime, Drama","108,655"
Isle of Dogs,(2018),101 min,7.9,"Animation, Adventure, Comedy","135,604"
Carlito's Way,(1993),144 min,7.9,"Crime, Drama, Thriller","198,650"
Before Midnight,(2013),109 min,7.9,"Drama, Romance","138,774"
Madeo,(2009),129 min,7.8,"Crime, Drama, Mystery","50,728"
A Hard Day's Night,(1964),87 min,7.6,"Comedy, Music, Musical","39,870"
Searching,(III) (2018),102 min,7.6,"Drama, Mystery, Thriller","136,718"
All the President's Men,(1976),138 min,8.0,"Biography, Drama, History","101,213"
À bout de souffle,(1960),90 min,7.8,"Crime, Drama","72,126"
The Insider,(1999),157 min,7.8,"Biography, Drama, Thriller","158,258"
End of Watch,(2012),109 min,7.6,"Action, Crime, Drama","226,111"
The Illusionist,(2006),110 min,7.6,"Drama, Fantasy, Mystery","352,472"
The Jungle Book,(1967),78 min,7.6,"Animation, Adventure, Family","164,230"
Metropolis,(1927),153 min,8.3,"Drama, Sci-Fi","158,085"
Tonari no Totoro,(1988),86 min,8.2,"Animation, Family, Fantasy","284,429"
Night of the Living Dead,(1968),96 min,7.9,"Horror, Thriller","115,438"
Relatos salvajes,(2014),122 min,8.1,"Comedy, Drama, Thriller","173,598"
Lost Highway,(1997),134 min,7.6,"Mystery, Thriller","129,274"
Lord of War,(2005),122 min,7.6,"Action, Crime, Drama","291,842"
Fiddler on the Roof,(1971),181 min,8.0,"Drama, Family, Musical","38,843"
3:10 to Yuma,(2007),122 min,7.7,"Action, Crime, Drama","286,230"
Empire of the Sun,(1987),153 min,7.7,"Action, Drama, History","114,296"
Singin' in the Rain,(1952),103 min,8.3,"Comedy, Musical, Romance","215,776"
Kôkaku Kidôtai,(1995),83 min,8.0,"Animation, Action, Crime","127,195"
Life of Brian,(1979),94 min,8.1,Comedy,"363,062"
Sing Street,(2016),106 min,7.9,"Comedy, Drama, Music","83,890"
Sunset Blvd.,(1950),110 min,8.4,"Drama, Film-Noir","198,805"
Ran,(1985),162 min,8.2,"Action, Drama, War","110,710"
This Is Spinal Tap,(1984),82 min,7.9,"Comedy, Music","127,596"
The Bridges of Madison County,(1995),135 min,7.6,"Drama, Romance","72,101"
Awakenings,(1990),121 min,7.8,"Biography, Drama","122,621"
Låt den rätte komma in,(2008),114 min,7.9,"Crime, Drama, Fantasy","204,288"
Wo hu cang long,(2000),120 min,7.8,"Action, Adventure, Fantasy","251,089"
Amores perros,(2000),154 min,8.1,"Drama, Thriller","221,299"
Batoru rowaiaru,(2000),114 min,7.6,"Action, Adventure, Drama","167,685"
Per un pugno di dollari,(1964),99 min,8.0,"Action, Drama, Western","195,416"
Barton Fink,(1991),116 min,7.7,"Comedy, Drama, Thriller","111,997"
Naked,(1993),132 min,7.8,"Comedy, Drama","33,842"
The Wrestler,(2008),109 min,7.9,"Drama, Sport","287,678"
After Hours,(1985),97 min,7.7,"Comedy, Crime, Drama","58,036"
Frost/Nixon,(2008),122 min,7.7,"Biography, Drama, History","102,329"
Doctor Zhivago,(1965),197 min,8.0,"Drama, Romance, War","68,951"
Solaris,(1972),167 min,8.1,"Drama, Mystery, Sci-Fi","79,572"
Bound by Honor,(1993),180 min,8.0,"Crime, Drama","28,556"
Robin Hood,(1973),83 min,7.6,"Animation, Adventure, Comedy","114,153"
Pâfekuto burû,(1997),81 min,8.0,"Animation, Crime, Mystery","56,053"
"Synecdoche, New York",(2008),124 min,7.6,Drama,"81,744"
The Ten Commandments,(1956),220 min,7.9,"Adventure, Drama","62,900"
Dawn of the Dead,(1978),127 min,7.9,"Action, Adventure, Horror","110,611"
High Noon,(1952),85 min,7.9,"Drama, Thriller, Western","96,296"
Andhadhun,(2018),139 min,8.3,"Crime, Drama, Music","68,609"
La migliore offerta,(2013),131 min,7.8,"Crime, Drama, Mystery","106,565"
The Naked Gun: From the Files of Police Squad!,(1988),85 min,7.6,"Comedy, Crime","150,559"
Jodaeiye Nader az Simin,(2011),123 min,8.3,"Drama, Thriller","216,710"
Cool Hand Luke,(1967),127 min,8.1,"Crime, Drama","159,846"
Flipped,(I) (2010),90 min,7.7,"Comedy, Drama, Romance","80,623"
Dirty Harry,(1971),102 min,7.7,"Action, Crime, Thriller","141,823"
The Last Picture Show,(1971),118 min,8.0,"Drama, Romance","41,785"
How to Train Your Dragon 2,(2014),102 min,7.8,"Animation, Action, Adventure","301,606"
Patton,(1970),172 min,7.9,"Biography, Drama, War","93,081"
A Streetcar Named Desire,(1951),122 min,8.0,Drama,"98,082"
Die Hard: With a Vengeance,(1995),128 min,7.6,"Action, Adventure, Thriller","359,970"
Annie Hall,(1977),93 min,8.0,"Comedy, Romance","249,928"
Roman Holiday,(1953),118 min,8.0,"Comedy, Romance","125,896"
Snow White and the Seven Dwarfs,(1937),83 min,7.6,"Animation, Family, Fantasy","179,231"
The Last King of Scotland,(2006),123 min,7.7,"Biography, Drama, History","173,937"
The Man from Earth,(2007),87 min,7.9,"Drama, Fantasy, Sci-Fi","172,263"
The Apartment,(1960),125 min,8.3,"Comedy, Drama, Romance","161,516"
The Iron Giant,(1999),86 min,8.0,"Animation, Action, Adventure","170,028"
A Little Princess,(1995),97 min,7.7,"Drama, Family, Fantasy","31,842"
The Artist,(I) (2011),100 min,7.9,"Comedy, Drama, Romance","228,880"
The King of Comedy,(1982),109 min,7.8,"Comedy, Crime, Drama","86,275"
Per qualche dollaro in più,(1965),132 min,8.3,Western,"229,454"
The Longest Day,(1962),178 min,7.8,"Action, Drama, History","51,766"
Network,(1976),121 min,8.1,Drama,"143,364"
Miller's Crossing,(1990),115 min,7.7,"Crime, Drama, Thriller","124,708"
El cuerpo,(2012),112 min,7.6,"Mystery, Thriller","55,886"
Yip Man,(2008),106 min,8.0,"Action, Biography, Drama","209,600"
Hotel Rwanda,(2004),121 min,8.1,"Biography, Drama, History","331,557"
The Conversation,(1974),113 min,7.8,"Drama, Mystery, Thriller","96,845"
Ed Wood,(1994),127 min,7.8,"Biography, Comedy, Drama","163,950"
Nosferatu,(1922),94 min,7.9,"Fantasy, Horror","87,923"
Mississippi Burning,(1988),128 min,7.8,"Crime, Drama, History","87,017"
Funny Games,(1997),108 min,7.6,"Crime, Drama, Thriller","63,921"
Taare Zameen Par,(2007),165 min,8.4,"Drama, Family","165,105"
Gangs of Wasseypur,(2012),321 min,8.2,"Action, Crime, Drama","80,397"
Finding Neverland,(2004),106 min,7.7,"Biography, Drama, Family","197,266"
21 Grams,(2003),124 min,7.6,"Crime, Drama, Thriller","222,719"
M - Eine Stadt sucht einen Mörder,(1931),117 min,8.3,"Crime, Mystery, Thriller","141,428"
Chung Hing sam lam,(1994),102 min,8.1,"Comedy, Crime, Drama","61,344"
Charade,(1963),113 min,7.9,"Comedy, Mystery, Romance","67,364"
Fantasia,(1940),125 min,7.7,"Animation, Family, Fantasy","87,609"
The Fall,(2006),117 min,7.9,"Adventure, Drama, Fantasy","106,550"
La dolce vita,(1960),174 min,8.0,"Comedy, Drama","65,556"
The Wild Bunch,(1969),145 min,7.9,"Action, Adventure, Western","76,710"
Persona,(1966),85 min,8.1,"Drama, Thriller","100,879"
Blood Simple,(1984),99 min,7.6,"Crime, Drama, Thriller","86,498"
Tumbbad,(2018),104 min,8.3,"Drama, Fantasy, Horror","26,008"
The Searchers,(1956),119 min,7.9,"Adventure, Drama, Western","79,336"
Enter the Dragon,(1973),102 min,7.7,"Action, Crime, Drama","95,319"
Majo no takkyûbin,(1989),103 min,7.8,"Animation, Adventure, Drama","120,960"
I Am Sam,(2001),132 min,7.7,Drama,"141,914"
Gake no ue no Ponyo,(2008),101 min,7.7,"Animation, Adventure, Comedy","122,549"
Kaze no tani no Naushika,(1984),117 min,8.1,"Animation, Adventure, Fantasy","147,841"
Le Petit Prince,(2015),108 min,7.7,"Animation, Adventure, Drama","55,918"
Serbuan maut 2: Berandal,(2014),150 min,8.0,"Action, Crime, Thriller","113,145"
Escape from Alcatraz,(1979),112 min,7.6,"Action, Biography, Crime","119,354"
October Sky,(1999),108 min,7.8,"Biography, Drama, Family","81,678"
Gandhi,(1982),191 min,8.0,"Biography, Drama, History","216,337"
Kung fu,(2004),99 min,7.7,"Action, Comedy, Fantasy","125,992"
Badlands,(1973),94 min,7.8,"Action, Crime, Drama","64,932"
Rio Bravo,(1959),141 min,8.0,"Action, Drama, Western","55,522"
Glengarry Glen Ross,(1992),100 min,7.7,"Crime, Drama, Mystery","94,790"
50/50,(2011),100 min,7.6,"Comedy, Drama, Romance","313,564"
Days of Heaven,(1978),94 min,7.8,"Drama, Romance","51,915"
Malcolm X,(1992),202 min,7.7,"Biography, Drama, History","84,491"
Sling Blade,(1996),135 min,8.0,Drama,"86,220"
Dawn of the Planet of the Apes,(2014),130 min,7.6,"Action, Adventure, Drama","408,900"
This Is England,(2006),101 min,7.7,"Crime, Drama","114,870"
La grande bellezza,(2013),141 min,7.8,Drama,"79,810"
Ordinary People,(1980),124 min,7.7,Drama,"46,352"
Clerks,(1994),92 min,7.7,Comedy,"210,335"
The Hustler,(1961),134 min,8.0,"Drama, Sport","74,508"
Kramer vs. Kramer,(1979),105 min,7.8,Drama,"131,480"
The Third Man,(1949),104 min,8.1,"Film-Noir, Mystery, Thriller","156,977"
My Fair Lady,(1964),170 min,7.8,"Drama, Family, Musical","85,492"
25th Hour,(2002),135 min,7.6,Drama,"168,756"
All That Jazz,(1979),123 min,7.9,"Drama, Music, Musical","27,727"
Giant,(1956),201 min,7.6,"Drama, Western","33,624"
Witness for the Prosecution,(1957),116 min,8.4,"Crime, Drama, Mystery","106,819"
Detachment,(2011),98 min,7.7,Drama,"75,997"
Paddington 2,(2017),103 min,7.8,"Adventure, Comedy, Family","59,279"
Rebel Without a Cause,(1955),111 min,7.7,Drama,"82,431"
Beasts of No Nation,(2015),137 min,7.7,"Drama, War","72,728"
Peeping Tom,(1960),101 min,7.7,"Drama, Horror, Thriller","30,939"
On the Waterfront,(1954),108 min,8.1,"Crime, Drama, Thriller","140,278"
Dancer in the Dark,(2000),140 min,8.0,"Crime, Drama, Musical","101,023"
Fanny och Alexander,(1982),188 min,8.1,Drama,"56,834"
The Great Dictator,(1940),125 min,8.4,"Comedy, Drama, War","200,211"
En man som heter Ove,(2015),116 min,7.7,"Comedy, Drama, Romance","46,068"
Star Trek II: The Wrath of Khan,(1982),113 min,7.7,"Action, Adventure, Sci-Fi","111,668"
Bãhubali: The Beginning,(2015),159 min,8.1,"Action, Drama","101,367"
Bonnie and Clyde,(1967),111 min,7.8,"Action, Biography, Crime","101,163"
Abre los ojos,(1997),119 min,7.7,"Drama, Mystery, Sci-Fi","63,492"
Letters from Iwo Jima,(2006),141 min,7.9,"Action, Adventure, Drama","153,019"
Serpico,(1973),130 min,7.7,"Biography, Crime, Drama","108,154"
Me and Earl and the Dying Girl,(2015),105 min,7.7,"Comedy, Drama","121,811"
Cinderella Man,(2005),144 min,8.0,"Biography, Drama, History","174,615"
All About Eve,(1950),138 min,8.2,Drama,"119,159"
Midnight Express,(1978),121 min,7.6,"Biography, Crime, Drama","72,897"
Kis Uykusu,(2014),196 min,8.1,Drama,"44,883"
The Outlaw Josey Wales,(1976),135 min,7.8,Western,"64,816"
Dial M for Murder,(1954),105 min,8.2,"Crime, Thriller","155,850"
The Last Emperor,(1987),163 min,7.7,"Biography, Drama, History","92,995"
Miracle on 34th Street,(1947),96 min,7.9,"Comedy, Drama, Family","39,355"
Modern Times,(1936),87 min,8.5,"Comedy, Drama, Family","214,383"
King Kong,(1933),100 min,7.9,"Adventure, Horror, Sci-Fi","78,172"
Double Indemnity,(1944),107 min,8.3,"Crime, Drama, Film-Noir","141,587"
Rope,(1948),80 min,8.0,"Crime, Drama, Mystery","127,872"
Cabaret,(1972),124 min,7.8,"Drama, Music, Musical","47,751"
8½,(1963),138 min,8.0,Drama,"107,582"
Dead Man,(1995),121 min,7.6,"Adventure, Drama, Fantasy","89,468"
Trois couleurs: Bleu,(1993),94 min,7.9,"Drama, Music, Mystery","87,885"
Good Bye Lenin!,(2003),121 min,7.7,"Comedy, Drama, Romance","136,773"
Tenkû no shiro Rapyuta,(1986),125 min,8.0,"Animation, Adventure, Drama","147,590"
Ying xiong,(2002),120 min,7.9,"Action, Adventure, History","172,947"
The Killing,(1956),84 min,8.0,"Crime, Drama, Film-Noir","80,632"
Lucky Number Slevin,(2006),110 min,7.7,"Action, Crime, Drama","298,052"
Papurika,(2006),90 min,7.7,"Animation, Drama, Fantasy","69,826"
Victoria,(II) (2015),138 min,7.6,"Crime, Drama, Romance","51,819"
Dilwale Dulhania Le Jayenge,(1995),189 min,8.1,"Drama, Romance","62,732"
In the Heat of the Night,(1967),110 min,7.9,"Crime, Drama, Mystery","66,886"
Short Term 12,(2013),96 min,8.0,Drama,"80,690"
The Man Who Shot Liberty Valance,(1962),123 min,8.1,"Drama, Western","67,938"
Perfetti sconosciuti,(2016),96 min,7.8,"Comedy, Drama","55,615"
Being There,(1979),130 min,8.0,"Comedy, Drama","64,858"
Mary and Max,(2009),92 min,8.1,"Animation, Comedy, Drama","162,661"
Der Himmel über Berlin,(1987),128 min,8.0,"Drama, Fantasy, Romance","63,790"
PK,(2014),153 min,8.1,"Comedy, Drama, Musical","159,767"
Frankenstein,(1931),70 min,7.8,"Drama, Horror, Sci-Fi","64,587"
The Maltese Falcon,(1941),100 min,8.0,"Film-Noir, Mystery","147,670"
Ray,(I) (2004),152 min,7.7,"Biography, Drama, Music","137,099"
The Muppet Christmas Carol,(1992),85 min,7.7,"Comedy, Drama, Family","46,763"
What Ever Happened to Baby Jane?,(1962),134 min,8.1,"Drama, Horror, Thriller","49,512"
Zulu,(1964),138 min,7.7,"Drama, History, War","35,499"
Delicatessen,(1991),99 min,7.6,"Comedy, Crime","79,746"
My Left Foot: The Story of Christy Brown,(1989),103 min,7.9,"Biography, Drama","67,045"
The Remains of the Day,(1993),134 min,7.8,"Drama, Romance","64,921"
La Vie En Rose,(2007),140 min,7.6,"Biography, Drama, Music","81,996"
Zwartboek,(2006),145 min,7.7,"Drama, Thriller, War","72,092"
Lola rennt,(1998),81 min,7.6,"Crime, Drama, Thriller","187,108"
K.G.F: Chapter 1,(2018),156 min,8.2,"Action, Drama","33,516"
In a Lonely Place,(1950),94 min,8.0,"Drama, Film-Noir, Mystery","26,065"
Kubo and the Two Strings,(2016),101 min,7.8,"Animation, Action, Adventure","116,457"
Mommy,(I) (2014),139 min,8.1,Drama,"49,618"
Kaze tachinu,(2013),126 min,7.8,"Animation, Biography, Drama","71,795"
Song of the Sea,(2014),93 min,8.1,"Animation, Adventure, Drama","50,126"
Yôjinbô,(1961),110 min,8.2,"Action, Drama, Thriller","109,410"
Blowup,(1966),111 min,7.6,"Drama, Mystery, Thriller","55,715"
The Hurricane,(1999),146 min,7.6,"Biography, Drama, Sport","90,730"
The Manchurian Candidate,(1962),126 min,7.9,"Drama, Thriller","70,638"
Rashômon,(1950),88 min,8.2,"Crime, Drama, Mystery","150,357"
Sabrina,(1954),113 min,7.7,"Comedy, Drama, Romance","58,418"
Ikiru,(1952),143 min,8.3,Drama,"66,968"
Pink Floyd: The Wall,(1982),95 min,8.1,"Drama, Fantasy, Music","75,389"
The Straight Story,(1999),112 min,8.0,"Biography, Drama","80,873"
Judgment at Nuremberg,(1961),179 min,8.2,"Drama, War","68,438"
The Innocents,(1961),100 min,7.8,Horror,"26,629"
Mr. Smith Goes to Washington,(1939),129 min,8.1,"Comedy, Drama","105,663"
Die Welle,(2008),107 min,7.6,"Drama, Thriller","101,710"
Festen,(1998),105 min,8.0,Drama,"77,142"
Mysterious Skin,(2004),105 min,7.6,Drama,"65,494"
Manhattan,(1979),96 min,7.9,"Comedy, Drama, Romance","130,256"
Drishyam,(2015),163 min,8.2,"Crime, Drama, Mystery","68,032"
Harold and Maude,(1971),91 min,7.9,"Comedy, Drama, Romance","70,102"
Once Were Warriors,(1994),102 min,7.9,"Crime, Drama","31,244"
Ladri di biciclette,(1948),89 min,8.3,Drama,"143,918"
Touch of Evil,(1958),95 min,8.0,"Crime, Drama, Film-Noir","97,627"
Smultronstället,(1957),91 min,8.2,"Drama, Romance","94,502"
Zerkalo,(1975),107 min,8.1,"Biography, Drama","39,014"
Kari-gurashi no Arietti,(2010),94 min,7.6,"Animation, Adventure, Family","79,179"
Amour,(2012),127 min,7.9,"Drama, Romance","92,038"
Notorious,(1946),102 min,7.9,"Drama, Film-Noir, Romance","91,340"
Nebraska,(2013),115 min,7.7,"Adventure, Comedy, Drama","111,410"
The Quiet Man,(1952),129 min,7.7,"Comedy, Drama, Romance","34,197"
The Killing Fields,(1984),141 min,7.8,"Biography, Drama, History","51,053"
Pride,(I) (2014),119 min,7.8,"Biography, Comedy, Drama","51,120"
Strangers on a Train,(1951),101 min,7.9,"Crime, Film-Noir, Thriller","122,212"
Hamlet,(1996),242 min,7.7,Drama,"35,754"
Breaking the Waves,(1996),159 min,7.8,Drama,"61,720"
Thank You for Smoking,(2005),92 min,7.6,"Comedy, Drama","211,886"
The Muppet Movie,(1979),95 min,7.6,"Adventure, Comedy, Family","32,300"
Bacheha-Ye aseman,(1997),89 min,8.3,"Drama, Family, Sport","63,809"
Ajeossi,(2010),119 min,7.8,"Action, Crime, Drama","61,845"
Paper Moon,(1973),102 min,8.1,"Comedy, Crime, Drama","41,735"
Trois couleurs: Rouge,(1994),99 min,8.1,"Drama, Mystery, Romance","89,166"
The Big Sleep,(1946),114 min,7.9,"Crime, Film-Noir, Mystery","78,094"
The Treasure of the Sierra Madre,(1948),126 min,8.2,"Adventure, Drama, Western","112,873"
Tengoku to jigoku,(1963),143 min,8.4,"Crime, Drama, Mystery","32,855"
Anatomy of a Murder,(1959),161 min,8.0,"Crime, Drama, Mystery","59,123"
Baahubali 2: The Conclusion,(2017),167 min,8.2,"Action, Drama","73,757"
