Movie,Year,RunTime,imdb,Genre,votes
Jurassic Park,(1993),127 min,8.1,"Action, Adventure, Sci-Fi","856,025"
Thor: Ragnarok,(2017),130 min,7.9,"Action, Adventure, Comedy","574,696"
Rebecca,(1940),130 min,8.1,"Drama, Mystery, Romance","122,087"
No Country for Old Men,(2007),122 min,8.1,"Crime, Drama, Thriller","842,865"
The Big Lebowski,(1998),117 min,8.1,"Comedy, Crime, Sport","722,904"
Boyz n the Hood,(1991),112 min,7.8,"Crime, Drama","123,948"
Mission: Impossible - Fallout,(2018),147 min,7.7,"Action, Adventure, Thriller","285,836"
The Princess Bride,(1987),98 min,8.1,"Adventure, Family, Fantasy","389,491"
Tombstone,(1993),130 min,7.8,"Action, Biography, Drama","124,730"
Guardians of the Galaxy Vol. 2,(2017),136 min,7.6,"Action, Adventure, Comedy","558,964"
Avatar,(2009),162 min,7.8,"Action, Adventure, Fantasy","1,109,086"
Alien,(1979),117 min,8.4,"Horror, Sci-Fi","778,144"
Deadpool,(2016),108 min,8.0,"Action, Adventure, Comedy","890,769"
Raiders of the Lost Ark,(1981),115 min,8.4,"Action, Adventure","873,979"
Green Book,(2018),130 min,8.2,"Biography, Comedy, Drama","355,209"
Call Me by Your Name,(2017),132 min,7.9,"Drama, Romance","205,171"
Harry Potter and the Half-Blood Prince,(2009),153 min,7.6,"Action, Adventure, Family","465,504"
Whiplash,(2014),106 min,8.5,"Drama, Music","702,376"
American Beauty,(1999),122 min,8.3,Drama,"1,058,398"
Coco,(I) (2017),105 min,8.4,"Animation, Adventure, Family","365,034"
Star Trek,(2009),127 min,7.9,"Action, Adventure, Sci-Fi","574,193"
Baby Driver,(2017),113 min,7.6,"Action, Crime, Music","430,178"
Taxi Driver,(1976),114 min,8.3,"Crime, Drama","713,140"
Pirates of the Caribbean: The Curse of the Black Pearl,(2003),143 min,8.0,"Action, Adventure, Fantasy","1,007,472"
The Martian,(2015),144 min,8.0,"Adventure, Drama, Sci-Fi","749,286"
Prisoners,(2013),153 min,8.1,"Crime, Drama, Mystery","590,092"
Rogue One,(2016),133 min,7.8,"Action, Adventure, Sci-Fi","545,137"
Edge of Tomorrow,(2014),113 min,7.9,"Action, Adventure, Sci-Fi","592,368"
Toy Story,(1995),81 min,8.3,"Animation, Adventure, Comedy","874,842"
Goldfinger,(1964),110 min,7.7,"Action, Adventure, Thriller","171,190"
Portrait de la jeune fille en feu,(2019),122 min,8.1,"Drama, Romance","56,149"
Dunkirk,(2017),106 min,7.9,"Action, Drama, History","542,385"
Die Hard,(1988),132 min,8.2,"Action, Thriller","774,837"
American Psycho,(2000),101 min,7.6,"Comedy, Crime, Drama","481,553"
The Grand Budapest Hotel,(2014),99 min,8.1,"Adventure, Comedy, Crime","696,067"
Shutter Island,(2010),138 min,8.2,"Mystery, Thriller","1,111,169"
Harry Potter and the Deathly Hallows: Part 1,(2010),146 min,7.7,"Adventure, Family, Fantasy","470,158"
Good Will Hunting,(1997),126 min,8.3,"Drama, Romance","848,316"
Braveheart,(1995),178 min,8.3,"Biography, Drama, History","949,480"
Eternal Sunshine of the Spotless Mind,(2004),108 min,8.3,"Drama, Romance, Sci-Fi","900,258"
The Social Network,(2010),120 min,7.7,"Biography, Drama","616,193"
My Cousin Vinny,(1992),120 min,7.6,"Comedy, Crime","105,496"
The Goonies,(1985),114 min,7.8,"Adventure, Comedy, Family","241,153"
The Curious Case of Benjamin Button,(2008),166 min,7.8,"Drama, Fantasy, Romance","581,627"
Blade Runner,(1982),117 min,8.1,"Action, Sci-Fi, Thriller","685,348"
The Revenant,(2015),156 min,8.0,"Action, Adventure, Drama","693,548"
Logan,(2017),137 min,8.1,"Action, Drama, Sci-Fi","636,768"
Her,(2013),126 min,8.0,"Drama, Romance, Sci-Fi","531,587"
The Usual Suspects,(1995),106 min,8.5,"Crime, Mystery, Thriller","979,172"
The Big Short,(2015),130 min,7.8,"Biography, Comedy, Drama","354,723"
